Year,Articles,Country,Cancer
1996,0,Puerto Rico,Breast cancer
1997,0,Puerto Rico,Breast cancer
1998,0,Puerto Rico,Breast cancer
1999,0,Puerto Rico,Breast cancer
2000,0,Puerto Rico,Breast cancer
2001,0,Puerto Rico,Breast cancer
2002,0,Puerto Rico,Breast cancer
2003,0,Puerto Rico,Breast cancer
2004,0,Puerto Rico,Breast cancer
2005,0,Puerto Rico,Breast cancer
2006,0,Puerto Rico,Breast cancer
2007,0,Puerto Rico,Breast cancer
2008,0,Puerto Rico,Breast cancer
2009,0,Puerto Rico,Breast cancer
2010,0,Puerto Rico,Breast cancer
2012,0,Puerto Rico,Breast cancer
2013,0,Puerto Rico,Breast cancer
2014,0,Puerto Rico,Breast cancer
2015,0,Puerto Rico,Breast cancer
2016,0,Puerto Rico,Breast cancer
2017,0,Puerto Rico,Breast cancer
2018,0,Puerto Rico,Breast cancer
2020,0,Puerto Rico,Breast cancer
2021,0,Puerto Rico,Breast cancer
2022,0,Puerto Rico,Breast cancer
2023,0,Puerto Rico,Breast cancer
2025,0,Puerto Rico,Breast cancer
2018,1,Puerto Rico,Cervical cancer
1986,0,Puerto Rico,Cervical cancer
1987,0,Puerto Rico,Cervical cancer
1988,0,Puerto Rico,Cervical cancer
1989,0,Puerto Rico,Cervical cancer
1990,0,Puerto Rico,Cervical cancer
1991,0,Puerto Rico,Cervical cancer
1992,0,Puerto Rico,Cervical cancer
1993,0,Puerto Rico,Cervical cancer
1994,0,Puerto Rico,Cervical cancer
1995,0,Puerto Rico,Cervical cancer
1996,0,Puerto Rico,Cervical cancer
1997,0,Puerto Rico,Cervical cancer
1998,0,Puerto Rico,Cervical cancer
1999,0,Puerto Rico,Cervical cancer
2000,0,Puerto Rico,Cervical cancer
2001,0,Puerto Rico,Cervical cancer
2002,0,Puerto Rico,Cervical cancer
2003,0,Puerto Rico,Cervical cancer
2004,0,Puerto Rico,Cervical cancer
2005,0,Puerto Rico,Cervical cancer
2006,0,Puerto Rico,Cervical cancer
2007,0,Puerto Rico,Cervical cancer
2008,0,Puerto Rico,Cervical cancer
2009,0,Puerto Rico,Cervical cancer
2010,0,Puerto Rico,Cervical cancer
2011,0,Puerto Rico,Cervical cancer
2012,0,Puerto Rico,Cervical cancer
2013,0,Puerto Rico,Cervical cancer
2014,0,Puerto Rico,Cervical cancer
2015,0,Puerto Rico,Cervical cancer
2016,0,Puerto Rico,Cervical cancer
2017,0,Puerto Rico,Cervical cancer
2019,0,Puerto Rico,Cervical cancer
2020,0,Puerto Rico,Cervical cancer
2021,0,Puerto Rico,Cervical cancer
2022,0,Puerto Rico,Cervical cancer
2023,0,Puerto Rico,Cervical cancer
2024,0,Puerto Rico,Cervical cancer
2025,0,Puerto Rico,Cervical cancer
2018,1,Puerto Rico,Colon cancer
1986,0,Puerto Rico,Colon cancer
1987,0,Puerto Rico,Colon cancer
1988,0,Puerto Rico,Colon cancer
1989,0,Puerto Rico,Colon cancer
1990,0,Puerto Rico,Colon cancer
1991,0,Puerto Rico,Colon cancer
1992,0,Puerto Rico,Colon cancer
1993,0,Puerto Rico,Colon cancer
1994,0,Puerto Rico,Colon cancer
1995,0,Puerto Rico,Colon cancer
1996,0,Puerto Rico,Colon cancer
1997,0,Puerto Rico,Colon cancer
1998,0,Puerto Rico,Colon cancer
1999,0,Puerto Rico,Colon cancer
2000,0,Puerto Rico,Colon cancer
2001,0,Puerto Rico,Colon cancer
2002,0,Puerto Rico,Colon cancer
2003,0,Puerto Rico,Colon cancer
2004,0,Puerto Rico,Colon cancer
2005,0,Puerto Rico,Colon cancer
2006,0,Puerto Rico,Colon cancer
2007,0,Puerto Rico,Colon cancer
2008,0,Puerto Rico,Colon cancer
2009,0,Puerto Rico,Colon cancer
2010,0,Puerto Rico,Colon cancer
2011,0,Puerto Rico,Colon cancer
2012,0,Puerto Rico,Colon cancer
2013,0,Puerto Rico,Colon cancer
2014,0,Puerto Rico,Colon cancer
2015,0,Puerto Rico,Colon cancer
2016,0,Puerto Rico,Colon cancer
2017,0,Puerto Rico,Colon cancer
2019,0,Puerto Rico,Colon cancer
2020,0,Puerto Rico,Colon cancer
2021,0,Puerto Rico,Colon cancer
2022,0,Puerto Rico,Colon cancer
2023,0,Puerto Rico,Colon cancer
2024,0,Puerto Rico,Colon cancer
2025,0,Puerto Rico,Colon cancer
2002,1,Puerto Rico,Colorectal cancer
2019,1,Puerto Rico,Colorectal cancer
1986,0,Puerto Rico,Colorectal cancer
1987,0,Puerto Rico,Colorectal cancer
1988,0,Puerto Rico,Colorectal cancer
1989,0,Puerto Rico,Colorectal cancer
1990,0,Puerto Rico,Colorectal cancer
1991,0,Puerto Rico,Colorectal cancer
1992,0,Puerto Rico,Colorectal cancer
1993,0,Puerto Rico,Colorectal cancer
1994,0,Puerto Rico,Colorectal cancer
1995,0,Puerto Rico,Colorectal cancer
1996,0,Puerto Rico,Colorectal cancer
1997,0,Puerto Rico,Colorectal cancer
1998,0,Puerto Rico,Colorectal cancer
1999,0,Puerto Rico,Colorectal cancer
2000,0,Puerto Rico,Colorectal cancer
2001,0,Puerto Rico,Colorectal cancer
2003,0,Puerto Rico,Colorectal cancer
2004,0,Puerto Rico,Colorectal cancer
2005,0,Puerto Rico,Colorectal cancer
2006,0,Puerto Rico,Colorectal cancer
2007,0,Puerto Rico,Colorectal cancer
2008,0,Puerto Rico,Colorectal cancer
2009,0,Puerto Rico,Colorectal cancer
2010,0,Puerto Rico,Colorectal cancer
2011,0,Puerto Rico,Colorectal cancer
2012,0,Puerto Rico,Colorectal cancer
2013,0,Puerto Rico,Colorectal cancer
2014,0,Puerto Rico,Colorectal cancer
2015,0,Puerto Rico,Colorectal cancer
2016,0,Puerto Rico,Colorectal cancer
2017,0,Puerto Rico,Colorectal cancer
2018,0,Puerto Rico,Colorectal cancer
2020,0,Puerto Rico,Colorectal cancer
2021,0,Puerto Rico,Colorectal cancer
2022,0,Puerto Rico,Colorectal cancer
2023,0,Puerto Rico,Colorectal cancer
2024,0,Puerto Rico,Colorectal cancer
2025,0,Puerto Rico,Colorectal cancer
1986,0,Puerto Rico,Esophageal cancer
1987,0,Puerto Rico,Esophageal cancer
1988,0,Puerto Rico,Esophageal cancer
1989,0,Puerto Rico,Esophageal cancer
1990,0,Puerto Rico,Esophageal cancer
1991,0,Puerto Rico,Esophageal cancer
1992,0,Puerto Rico,Esophageal cancer
1993,0,Puerto Rico,Esophageal cancer
1994,0,Puerto Rico,Esophageal cancer
1995,0,Puerto Rico,Esophageal cancer
1996,0,Puerto Rico,Esophageal cancer
1997,0,Puerto Rico,Esophageal cancer
1998,0,Puerto Rico,Esophageal cancer
1999,0,Puerto Rico,Esophageal cancer
2000,0,Puerto Rico,Esophageal cancer
2001,0,Puerto Rico,Esophageal cancer
2002,0,Puerto Rico,Esophageal cancer
2003,0,Puerto Rico,Esophageal cancer
2004,0,Puerto Rico,Esophageal cancer
2005,0,Puerto Rico,Esophageal cancer
2006,0,Puerto Rico,Esophageal cancer
2007,0,Puerto Rico,Esophageal cancer
2008,0,Puerto Rico,Esophageal cancer
2009,0,Puerto Rico,Esophageal cancer
2010,0,Puerto Rico,Esophageal cancer
2011,0,Puerto Rico,Esophageal cancer
2012,0,Puerto Rico,Esophageal cancer
2013,0,Puerto Rico,Esophageal cancer
2014,0,Puerto Rico,Esophageal cancer
2015,0,Puerto Rico,Esophageal cancer
2016,0,Puerto Rico,Esophageal cancer
2017,0,Puerto Rico,Esophageal cancer
2018,0,Puerto Rico,Esophageal cancer
2019,0,Puerto Rico,Esophageal cancer
2020,0,Puerto Rico,Esophageal cancer
2021,0,Puerto Rico,Esophageal cancer
2022,0,Puerto Rico,Esophageal cancer
2023,0,Puerto Rico,Esophageal cancer
2024,0,Puerto Rico,Esophageal cancer
2025,0,Puerto Rico,Esophageal cancer
1986,0,Puerto Rico,Gallbladder cancer
1987,0,Puerto Rico,Gallbladder cancer
1988,0,Puerto Rico,Gallbladder cancer
1989,0,Puerto Rico,Gallbladder cancer
1990,0,Puerto Rico,Gallbladder cancer
1991,0,Puerto Rico,Gallbladder cancer
1992,0,Puerto Rico,Gallbladder cancer
1993,0,Puerto Rico,Gallbladder cancer
1994,0,Puerto Rico,Gallbladder cancer
1995,0,Puerto Rico,Gallbladder cancer
1996,0,Puerto Rico,Gallbladder cancer
1997,0,Puerto Rico,Gallbladder cancer
1998,0,Puerto Rico,Gallbladder cancer
1999,0,Puerto Rico,Gallbladder cancer
2000,0,Puerto Rico,Gallbladder cancer
2001,0,Puerto Rico,Gallbladder cancer
2002,0,Puerto Rico,Gallbladder cancer
2003,0,Puerto Rico,Gallbladder cancer
2004,0,Puerto Rico,Gallbladder cancer
2005,0,Puerto Rico,Gallbladder cancer
2006,0,Puerto Rico,Gallbladder cancer
2007,0,Puerto Rico,Gallbladder cancer
2008,0,Puerto Rico,Gallbladder cancer
2009,0,Puerto Rico,Gallbladder cancer
2010,0,Puerto Rico,Gallbladder cancer
2011,0,Puerto Rico,Gallbladder cancer
2012,0,Puerto Rico,Gallbladder cancer
2013,0,Puerto Rico,Gallbladder cancer
2014,0,Puerto Rico,Gallbladder cancer
2015,0,Puerto Rico,Gallbladder cancer
2016,0,Puerto Rico,Gallbladder cancer
2017,0,Puerto Rico,Gallbladder cancer
2018,0,Puerto Rico,Gallbladder cancer
2019,0,Puerto Rico,Gallbladder cancer
2020,0,Puerto Rico,Gallbladder cancer
2021,0,Puerto Rico,Gallbladder cancer
2022,0,Puerto Rico,Gallbladder cancer
2023,0,Puerto Rico,Gallbladder cancer
2024,0,Puerto Rico,Gallbladder cancer
2025,0,Puerto Rico,Gallbladder cancer
2012,1,Puerto Rico,Hodgkin lymphoma
1986,0,Puerto Rico,Hodgkin lymphoma
1987,0,Puerto Rico,Hodgkin lymphoma
1988,0,Puerto Rico,Hodgkin lymphoma
1989,0,Puerto Rico,Hodgkin lymphoma
1990,0,Puerto Rico,Hodgkin lymphoma
1991,0,Puerto Rico,Hodgkin lymphoma
1992,0,Puerto Rico,Hodgkin lymphoma
1993,0,Puerto Rico,Hodgkin lymphoma
1994,0,Puerto Rico,Hodgkin lymphoma
1995,0,Puerto Rico,Hodgkin lymphoma
1996,0,Puerto Rico,Hodgkin lymphoma
1997,0,Puerto Rico,Hodgkin lymphoma
1998,0,Puerto Rico,Hodgkin lymphoma
1999,0,Puerto Rico,Hodgkin lymphoma
2000,0,Puerto Rico,Hodgkin lymphoma
2001,0,Puerto Rico,Hodgkin lymphoma
2002,0,Puerto Rico,Hodgkin lymphoma
2003,0,Puerto Rico,Hodgkin lymphoma
2004,0,Puerto Rico,Hodgkin lymphoma
2005,0,Puerto Rico,Hodgkin lymphoma
2006,0,Puerto Rico,Hodgkin lymphoma
2007,0,Puerto Rico,Hodgkin lymphoma
2008,0,Puerto Rico,Hodgkin lymphoma
2009,0,Puerto Rico,Hodgkin lymphoma
2010,0,Puerto Rico,Hodgkin lymphoma
2011,0,Puerto Rico,Hodgkin lymphoma
2013,0,Puerto Rico,Hodgkin lymphoma
2014,0,Puerto Rico,Hodgkin lymphoma
2015,0,Puerto Rico,Hodgkin lymphoma
2016,0,Puerto Rico,Hodgkin lymphoma
2017,0,Puerto Rico,Hodgkin lymphoma
2018,0,Puerto Rico,Hodgkin lymphoma
2019,0,Puerto Rico,Hodgkin lymphoma
2020,0,Puerto Rico,Hodgkin lymphoma
2021,0,Puerto Rico,Hodgkin lymphoma
2022,0,Puerto Rico,Hodgkin lymphoma
2023,0,Puerto Rico,Hodgkin lymphoma
2024,0,Puerto Rico,Hodgkin lymphoma
2025,0,Puerto Rico,Hodgkin lymphoma
1986,0,Puerto Rico,Kaposi sarcoma
1987,0,Puerto Rico,Kaposi sarcoma
1988,0,Puerto Rico,Kaposi sarcoma
1989,0,Puerto Rico,Kaposi sarcoma
1990,0,Puerto Rico,Kaposi sarcoma
1991,0,Puerto Rico,Kaposi sarcoma
1992,0,Puerto Rico,Kaposi sarcoma
1993,0,Puerto Rico,Kaposi sarcoma
1994,0,Puerto Rico,Kaposi sarcoma
1995,0,Puerto Rico,Kaposi sarcoma
1996,0,Puerto Rico,Kaposi sarcoma
1997,0,Puerto Rico,Kaposi sarcoma
1998,0,Puerto Rico,Kaposi sarcoma
1999,0,Puerto Rico,Kaposi sarcoma
2000,0,Puerto Rico,Kaposi sarcoma
2001,0,Puerto Rico,Kaposi sarcoma
2002,0,Puerto Rico,Kaposi sarcoma
2003,0,Puerto Rico,Kaposi sarcoma
2004,0,Puerto Rico,Kaposi sarcoma
2005,0,Puerto Rico,Kaposi sarcoma
2006,0,Puerto Rico,Kaposi sarcoma
2007,0,Puerto Rico,Kaposi sarcoma
2008,0,Puerto Rico,Kaposi sarcoma
2009,0,Puerto Rico,Kaposi sarcoma
2010,0,Puerto Rico,Kaposi sarcoma
2011,0,Puerto Rico,Kaposi sarcoma
2012,0,Puerto Rico,Kaposi sarcoma
2013,0,Puerto Rico,Kaposi sarcoma
2014,0,Puerto Rico,Kaposi sarcoma
2015,0,Puerto Rico,Kaposi sarcoma
2016,0,Puerto Rico,Kaposi sarcoma
2017,0,Puerto Rico,Kaposi sarcoma
2018,0,Puerto Rico,Kaposi sarcoma
2019,0,Puerto Rico,Kaposi sarcoma
2020,0,Puerto Rico,Kaposi sarcoma
2021,0,Puerto Rico,Kaposi sarcoma
2022,0,Puerto Rico,Kaposi sarcoma
2023,0,Puerto Rico,Kaposi sarcoma
2024,0,Puerto Rico,Kaposi sarcoma
2025,0,Puerto Rico,Kaposi sarcoma
1986,0,Puerto Rico,Kidney cancer
1987,0,Puerto Rico,Kidney cancer
1988,0,Puerto Rico,Kidney cancer
1989,0,Puerto Rico,Kidney cancer
1990,0,Puerto Rico,Kidney cancer
1991,0,Puerto Rico,Kidney cancer
1992,0,Puerto Rico,Kidney cancer
1993,0,Puerto Rico,Kidney cancer
1994,0,Puerto Rico,Kidney cancer
1995,0,Puerto Rico,Kidney cancer
1996,0,Puerto Rico,Kidney cancer
1997,0,Puerto Rico,Kidney cancer
1998,0,Puerto Rico,Kidney cancer
1999,0,Puerto Rico,Kidney cancer
2000,0,Puerto Rico,Kidney cancer
2001,0,Puerto Rico,Kidney cancer
2002,0,Puerto Rico,Kidney cancer
2003,0,Puerto Rico,Kidney cancer
2004,0,Puerto Rico,Kidney cancer
2005,0,Puerto Rico,Kidney cancer
2006,0,Puerto Rico,Kidney cancer
2007,0,Puerto Rico,Kidney cancer
2008,0,Puerto Rico,Kidney cancer
2009,0,Puerto Rico,Kidney cancer
2010,0,Puerto Rico,Kidney cancer
2011,0,Puerto Rico,Kidney cancer
2012,0,Puerto Rico,Kidney cancer
2013,0,Puerto Rico,Kidney cancer
2014,0,Puerto Rico,Kidney cancer
2015,0,Puerto Rico,Kidney cancer
2016,0,Puerto Rico,Kidney cancer
2017,0,Puerto Rico,Kidney cancer
2018,0,Puerto Rico,Kidney cancer
2019,0,Puerto Rico,Kidney cancer
2020,0,Puerto Rico,Kidney cancer
2021,0,Puerto Rico,Kidney cancer
2022,0,Puerto Rico,Kidney cancer
2023,0,Puerto Rico,Kidney cancer
2024,0,Puerto Rico,Kidney cancer
2025,0,Puerto Rico,Kidney cancer
1986,0,Puerto Rico,Laryngeal cancer
1987,0,Puerto Rico,Laryngeal cancer
1988,0,Puerto Rico,Laryngeal cancer
1989,0,Puerto Rico,Laryngeal cancer
1990,0,Puerto Rico,Laryngeal cancer
1991,0,Puerto Rico,Laryngeal cancer
1992,0,Puerto Rico,Laryngeal cancer
1993,0,Puerto Rico,Laryngeal cancer
1994,0,Puerto Rico,Laryngeal cancer
1995,0,Puerto Rico,Laryngeal cancer
1996,0,Puerto Rico,Laryngeal cancer
1997,0,Puerto Rico,Laryngeal cancer
1998,0,Puerto Rico,Laryngeal cancer
1999,0,Puerto Rico,Laryngeal cancer
2000,0,Puerto Rico,Laryngeal cancer
2001,0,Puerto Rico,Laryngeal cancer
2002,0,Puerto Rico,Laryngeal cancer
2003,0,Puerto Rico,Laryngeal cancer
2004,0,Puerto Rico,Laryngeal cancer
2005,0,Puerto Rico,Laryngeal cancer
2006,0,Puerto Rico,Laryngeal cancer
2007,0,Puerto Rico,Laryngeal cancer
2008,0,Puerto Rico,Laryngeal cancer
2009,0,Puerto Rico,Laryngeal cancer
2010,0,Puerto Rico,Laryngeal cancer
2011,0,Puerto Rico,Laryngeal cancer
2012,0,Puerto Rico,Laryngeal cancer
2013,0,Puerto Rico,Laryngeal cancer
2014,0,Puerto Rico,Laryngeal cancer
2015,0,Puerto Rico,Laryngeal cancer
2016,0,Puerto Rico,Laryngeal cancer
2017,0,Puerto Rico,Laryngeal cancer
2018,0,Puerto Rico,Laryngeal cancer
2019,0,Puerto Rico,Laryngeal cancer
2020,0,Puerto Rico,Laryngeal cancer
2021,0,Puerto Rico,Laryngeal cancer
2022,0,Puerto Rico,Laryngeal cancer
2023,0,Puerto Rico,Laryngeal cancer
2024,0,Puerto Rico,Laryngeal cancer
2025,0,Puerto Rico,Laryngeal cancer
2002,1,Puerto Rico,Leukemia
1998,1,Puerto Rico,Leukemia
1986,0,Puerto Rico,Leukemia
1987,0,Puerto Rico,Leukemia
1988,0,Puerto Rico,Leukemia
1989,0,Puerto Rico,Leukemia
1990,0,Puerto Rico,Leukemia
1991,0,Puerto Rico,Leukemia
1992,0,Puerto Rico,Leukemia
1993,0,Puerto Rico,Leukemia
1994,0,Puerto Rico,Leukemia
1995,0,Puerto Rico,Leukemia
1996,0,Puerto Rico,Leukemia
1997,0,Puerto Rico,Leukemia
1999,0,Puerto Rico,Leukemia
2000,0,Puerto Rico,Leukemia
2001,0,Puerto Rico,Leukemia
2003,0,Puerto Rico,Leukemia
2004,0,Puerto Rico,Leukemia
2005,0,Puerto Rico,Leukemia
2006,0,Puerto Rico,Leukemia
2007,0,Puerto Rico,Leukemia
2008,0,Puerto Rico,Leukemia
2009,0,Puerto Rico,Leukemia
2010,0,Puerto Rico,Leukemia
2011,0,Puerto Rico,Leukemia
2012,0,Puerto Rico,Leukemia
2013,0,Puerto Rico,Leukemia
2014,0,Puerto Rico,Leukemia
2015,0,Puerto Rico,Leukemia
2016,0,Puerto Rico,Leukemia
2017,0,Puerto Rico,Leukemia
2018,0,Puerto Rico,Leukemia
2019,0,Puerto Rico,Leukemia
2020,0,Puerto Rico,Leukemia
2021,0,Puerto Rico,Leukemia
2022,0,Puerto Rico,Leukemia
2023,0,Puerto Rico,Leukemia
2024,0,Puerto Rico,Leukemia
2025,0,Puerto Rico,Leukemia
1986,0,Puerto Rico,Liver cancer
1987,0,Puerto Rico,Liver cancer
1988,0,Puerto Rico,Liver cancer
1989,0,Puerto Rico,Liver cancer
1990,0,Puerto Rico,Liver cancer
1991,0,Puerto Rico,Liver cancer
1992,0,Puerto Rico,Liver cancer
1993,0,Puerto Rico,Liver cancer
1994,0,Puerto Rico,Liver cancer
1995,0,Puerto Rico,Liver cancer
1996,0,Puerto Rico,Liver cancer
1997,0,Puerto Rico,Liver cancer
1998,0,Puerto Rico,Liver cancer
1999,0,Puerto Rico,Liver cancer
2000,0,Puerto Rico,Liver cancer
2001,0,Puerto Rico,Liver cancer
2002,0,Puerto Rico,Liver cancer
2003,0,Puerto Rico,Liver cancer
2004,0,Puerto Rico,Liver cancer
2005,0,Puerto Rico,Liver cancer
2006,0,Puerto Rico,Liver cancer
2007,0,Puerto Rico,Liver cancer
2008,0,Puerto Rico,Liver cancer
2009,0,Puerto Rico,Liver cancer
2010,0,Puerto Rico,Liver cancer
2011,0,Puerto Rico,Liver cancer
2012,0,Puerto Rico,Liver cancer
2013,0,Puerto Rico,Liver cancer
2014,0,Puerto Rico,Liver cancer
2015,0,Puerto Rico,Liver cancer
2016,0,Puerto Rico,Liver cancer
2017,0,Puerto Rico,Liver cancer
2018,0,Puerto Rico,Liver cancer
2019,0,Puerto Rico,Liver cancer
2020,0,Puerto Rico,Liver cancer
2021,0,Puerto Rico,Liver cancer
2022,0,Puerto Rico,Liver cancer
2023,0,Puerto Rico,Liver cancer
2024,0,Puerto Rico,Liver cancer
2025,0,Puerto Rico,Liver cancer
1986,0,Puerto Rico,Lung cancer
1987,0,Puerto Rico,Lung cancer
1988,0,Puerto Rico,Lung cancer
1989,0,Puerto Rico,Lung cancer
1990,0,Puerto Rico,Lung cancer
1991,0,Puerto Rico,Lung cancer
1992,0,Puerto Rico,Lung cancer
1993,0,Puerto Rico,Lung cancer
1994,0,Puerto Rico,Lung cancer
1995,0,Puerto Rico,Lung cancer
1996,0,Puerto Rico,Lung cancer
1997,0,Puerto Rico,Lung cancer
1998,0,Puerto Rico,Lung cancer
1999,0,Puerto Rico,Lung cancer
2000,0,Puerto Rico,Lung cancer
2001,0,Puerto Rico,Lung cancer
2002,0,Puerto Rico,Lung cancer
2003,0,Puerto Rico,Lung cancer
2004,0,Puerto Rico,Lung cancer
2005,0,Puerto Rico,Lung cancer
2006,0,Puerto Rico,Lung cancer
2007,0,Puerto Rico,Lung cancer
2008,0,Puerto Rico,Lung cancer
2009,0,Puerto Rico,Lung cancer
2010,0,Puerto Rico,Lung cancer
2011,0,Puerto Rico,Lung cancer
2012,0,Puerto Rico,Lung cancer
2013,0,Puerto Rico,Lung cancer
2014,0,Puerto Rico,Lung cancer
2015,0,Puerto Rico,Lung cancer
2016,0,Puerto Rico,Lung cancer
2017,0,Puerto Rico,Lung cancer
2018,0,Puerto Rico,Lung cancer
2019,0,Puerto Rico,Lung cancer
2020,0,Puerto Rico,Lung cancer
2021,0,Puerto Rico,Lung cancer
2022,0,Puerto Rico,Lung cancer
2023,0,Puerto Rico,Lung cancer
2024,0,Puerto Rico,Lung cancer
2025,0,Puerto Rico,Lung cancer
1986,0,Puerto Rico,Mesothelioma
1987,0,Puerto Rico,Mesothelioma
1988,0,Puerto Rico,Mesothelioma
1989,0,Puerto Rico,Mesothelioma
1990,0,Puerto Rico,Mesothelioma
1991,0,Puerto Rico,Mesothelioma
1992,0,Puerto Rico,Mesothelioma
1993,0,Puerto Rico,Mesothelioma
1994,0,Puerto Rico,Mesothelioma
1995,0,Puerto Rico,Mesothelioma
1996,0,Puerto Rico,Mesothelioma
1997,0,Puerto Rico,Mesothelioma
1998,0,Puerto Rico,Mesothelioma
1999,0,Puerto Rico,Mesothelioma
2000,0,Puerto Rico,Mesothelioma
2001,0,Puerto Rico,Mesothelioma
2002,0,Puerto Rico,Mesothelioma
2003,0,Puerto Rico,Mesothelioma
2004,0,Puerto Rico,Mesothelioma
2005,0,Puerto Rico,Mesothelioma
2006,0,Puerto Rico,Mesothelioma
2007,0,Puerto Rico,Mesothelioma
2008,0,Puerto Rico,Mesothelioma
2009,0,Puerto Rico,Mesothelioma
2010,0,Puerto Rico,Mesothelioma
2011,0,Puerto Rico,Mesothelioma
2012,0,Puerto Rico,Mesothelioma
2013,0,Puerto Rico,Mesothelioma
2014,0,Puerto Rico,Mesothelioma
2015,0,Puerto Rico,Mesothelioma
2016,0,Puerto Rico,Mesothelioma
2017,0,Puerto Rico,Mesothelioma
2018,0,Puerto Rico,Mesothelioma
2019,0,Puerto Rico,Mesothelioma
2020,0,Puerto Rico,Mesothelioma
2021,0,Puerto Rico,Mesothelioma
2022,0,Puerto Rico,Mesothelioma
2023,0,Puerto Rico,Mesothelioma
2024,0,Puerto Rico,Mesothelioma
2025,0,Puerto Rico,Mesothelioma
1986,0,Puerto Rico,Mouth cancer
1987,0,Puerto Rico,Mouth cancer
1988,0,Puerto Rico,Mouth cancer
1989,0,Puerto Rico,Mouth cancer
1990,0,Puerto Rico,Mouth cancer
1991,0,Puerto Rico,Mouth cancer
1992,0,Puerto Rico,Mouth cancer
1993,0,Puerto Rico,Mouth cancer
1994,0,Puerto Rico,Mouth cancer
1995,0,Puerto Rico,Mouth cancer
1996,0,Puerto Rico,Mouth cancer
1997,0,Puerto Rico,Mouth cancer
1998,0,Puerto Rico,Mouth cancer
1999,0,Puerto Rico,Mouth cancer
2000,0,Puerto Rico,Mouth cancer
2001,0,Puerto Rico,Mouth cancer
2002,0,Puerto Rico,Mouth cancer
2003,0,Puerto Rico,Mouth cancer
2004,0,Puerto Rico,Mouth cancer
2005,0,Puerto Rico,Mouth cancer
2006,0,Puerto Rico,Mouth cancer
2007,0,Puerto Rico,Mouth cancer
2008,0,Puerto Rico,Mouth cancer
2009,0,Puerto Rico,Mouth cancer
2010,0,Puerto Rico,Mouth cancer
2011,0,Puerto Rico,Mouth cancer
2012,0,Puerto Rico,Mouth cancer
2013,0,Puerto Rico,Mouth cancer
2014,0,Puerto Rico,Mouth cancer
2015,0,Puerto Rico,Mouth cancer
2016,0,Puerto Rico,Mouth cancer
2017,0,Puerto Rico,Mouth cancer
2018,0,Puerto Rico,Mouth cancer
2019,0,Puerto Rico,Mouth cancer
2020,0,Puerto Rico,Mouth cancer
2021,0,Puerto Rico,Mouth cancer
2022,0,Puerto Rico,Mouth cancer
2023,0,Puerto Rico,Mouth cancer
2024,0,Puerto Rico,Mouth cancer
2025,0,Puerto Rico,Mouth cancer
1986,0,Puerto Rico,Multiple myeloma
1987,0,Puerto Rico,Multiple myeloma
1988,0,Puerto Rico,Multiple myeloma
1989,0,Puerto Rico,Multiple myeloma
1990,0,Puerto Rico,Multiple myeloma
1991,0,Puerto Rico,Multiple myeloma
1992,0,Puerto Rico,Multiple myeloma
1993,0,Puerto Rico,Multiple myeloma
1994,0,Puerto Rico,Multiple myeloma
1995,0,Puerto Rico,Multiple myeloma
1996,0,Puerto Rico,Multiple myeloma
1997,0,Puerto Rico,Multiple myeloma
1998,0,Puerto Rico,Multiple myeloma
1999,0,Puerto Rico,Multiple myeloma
2000,0,Puerto Rico,Multiple myeloma
2001,0,Puerto Rico,Multiple myeloma
2002,0,Puerto Rico,Multiple myeloma
2003,0,Puerto Rico,Multiple myeloma
2004,0,Puerto Rico,Multiple myeloma
2005,0,Puerto Rico,Multiple myeloma
2006,0,Puerto Rico,Multiple myeloma
2007,0,Puerto Rico,Multiple myeloma
2008,0,Puerto Rico,Multiple myeloma
2009,0,Puerto Rico,Multiple myeloma
2010,0,Puerto Rico,Multiple myeloma
2011,0,Puerto Rico,Multiple myeloma
2012,0,Puerto Rico,Multiple myeloma
2013,0,Puerto Rico,Multiple myeloma
2014,0,Puerto Rico,Multiple myeloma
2015,0,Puerto Rico,Multiple myeloma
2016,0,Puerto Rico,Multiple myeloma
2017,0,Puerto Rico,Multiple myeloma
2018,0,Puerto Rico,Multiple myeloma
2019,0,Puerto Rico,Multiple myeloma
2020,0,Puerto Rico,Multiple myeloma
2021,0,Puerto Rico,Multiple myeloma
2022,0,Puerto Rico,Multiple myeloma
2023,0,Puerto Rico,Multiple myeloma
2024,0,Puerto Rico,Multiple myeloma
2025,0,Puerto Rico,Multiple myeloma
2012,1,Puerto Rico,Non-Hodgkin lymphoma
1986,0,Puerto Rico,Non-Hodgkin lymphoma
1987,0,Puerto Rico,Non-Hodgkin lymphoma
1988,0,Puerto Rico,Non-Hodgkin lymphoma
1989,0,Puerto Rico,Non-Hodgkin lymphoma
1990,0,Puerto Rico,Non-Hodgkin lymphoma
1991,0,Puerto Rico,Non-Hodgkin lymphoma
1992,0,Puerto Rico,Non-Hodgkin lymphoma
1993,0,Puerto Rico,Non-Hodgkin lymphoma
1994,0,Puerto Rico,Non-Hodgkin lymphoma
1995,0,Puerto Rico,Non-Hodgkin lymphoma
1996,0,Puerto Rico,Non-Hodgkin lymphoma
1997,0,Puerto Rico,Non-Hodgkin lymphoma
1998,0,Puerto Rico,Non-Hodgkin lymphoma
1999,0,Puerto Rico,Non-Hodgkin lymphoma
2000,0,Puerto Rico,Non-Hodgkin lymphoma
2001,0,Puerto Rico,Non-Hodgkin lymphoma
